./res/out_9bus_2.out
IEEE 9 BUS CASE - 3G - 3L
                     1              4       
        Time(s) VOLT 1 [BUS1 1 ANGL 2 [BUS2 1
                        6.500]         8.000]
          -0.02        1.03754        179.021
          -0.01        1.03754        179.021
              0        1.03754        179.021
           0.01        1.03754        179.021
           0.02        1.03754        179.021
           0.03        1.03754        179.021
           0.04        1.03754        179.021
           0.05        1.03754        179.021
           0.06        1.03754        179.021
           0.07        1.03754        179.021
           0.08        1.03754        179.021
           0.09        1.03754        179.021
            0.1        1.03754        179.021
           0.11        1.03754        179.021
           0.12        1.03754        179.021
           0.13        1.03754        179.021
           0.14        1.03754        179.021
           0.15        1.03754        179.021
           0.16        1.03754        179.021
           0.17        1.03754        179.021
           0.18        1.03754        179.021
           0.19        1.03754        179.021
            0.2        1.03754        179.021
           0.21        1.03754        179.021
           0.22        1.03754        179.021
           0.23        1.03754        179.021
           0.24        1.03754        179.021
           0.25        1.03754        179.021
           0.26        1.03754        179.021
           0.27        1.03754        179.021
           0.28        1.03754        179.021
           0.29        1.03754        179.021
            0.3        1.03754        179.021
           0.31        1.03754        179.021
           0.32        1.03754        179.021
           0.33        1.03754        179.021
           0.34        1.03754        179.021
           0.35        1.03754        179.021
           0.36        1.03754        179.021
           0.37        1.03754        179.021
           0.38        1.03754        179.021
           0.39        1.03754        179.021
            0.4        1.03754        179.021
           0.41        1.03754        179.021
           0.42        1.03754        179.021
           0.43        1.03754        179.021
           0.44        1.03754        179.021
           0.45        1.03754        179.021
           0.46        1.03754        179.021
           0.47        1.03754        179.021
           0.48        1.03754        179.021
           0.49        1.03754        179.021
            0.5        1.03754        179.021
           0.51        1.03754        179.021
           0.52        1.03754        179.021
           0.53        1.03754        179.021
           0.54        1.03754        179.021
           0.55        1.03754        179.021
           0.56        1.03754        179.021
           0.57        1.03754        179.021
           0.58        1.03754        179.021
           0.59        1.03754        179.021
            0.6        1.03754        179.021
           0.61        1.03754        179.021
           0.62        1.03754        179.021
           0.63        1.03754        179.021
           0.64        1.03754        179.021
           0.65        1.03754        179.021
           0.66        1.03754        179.021
           0.67        1.03754        179.021
           0.68        1.03754        179.021
           0.69        1.03754        179.021
            0.7        1.03754        179.021
           0.71        1.03754        179.021
           0.72        1.03754        179.021
           0.73        1.03754        179.021
           0.74        1.03754        179.021
           0.75        1.03754        179.021
           0.76        1.03754        179.021
           0.77        1.03754        179.021
           0.78        1.03754        179.021
           0.79        1.03754        179.021
            0.8        1.03754        179.021
           0.81        1.03754        179.021
           0.82        1.03754        179.021
           0.83        1.03754        179.021
       0.839999        1.03754        179.021
       0.849999        1.03754        179.021
       0.859999        1.03754        179.021
       0.869999        1.03754        179.021
       0.879999        1.03754        179.021
       0.889999        1.03754        179.021
       0.899999        1.03754        179.021
       0.909999        1.03754        179.021
       0.919999        1.03754        179.021
       0.929999        1.03754        179.021
       0.939999        1.03754        179.021
       0.949999        1.03754        179.021
       0.959999        1.03754        179.021
       0.969999        1.03754        179.021
       0.979999        1.03754        179.021
       0.989999        1.03754        179.021
       0.999999        1.03754        179.021
           1.01        1.03754        179.021
           1.02        1.03754        179.021
           1.03        1.03754        179.021
           1.04        1.03754        179.021
           1.05        1.03754        179.021
           1.06        1.03754        179.021
           1.07        1.03754        179.021
